Settlement Name,Project Type,Project Status,Completion Percentage,Start Date,End Date,Project Budget (KES),Infrastructure Level,Population Density,Growth Rate,Need New Infrastructure
Lodwar,Water,Completed,100,2019-12-13,2021-03-16,16000000,Medium,Medium,Slow,0
Wajir,Bridge,In Progress,89,2022-12-06,2023-01-19,11000000,High,High,Slow,0
Nairobi,Hospital,In Progress,97,2021-12-04,2022-03-01,59000000,Low,Low,Slow,0
Embu,Electricity,Delayed,22,2021-02-28,2022-01-09,13000000,High,High,Stable,0
Isiolo,Hospital,In Progress,38,2021-10-09,2022-10-08,82000000,High,High,Slow,0
Narok,Hospital,In Progress,73,2022-10-03,2023-09-23,97000000,Low,Medium,Stable,0
Garissa,Road,Delayed,77,2022-11-14,2023-07-26,77000000,Medium,Low,Stable,0
Nyeri,Market,Not Started,0,,,15000000,Low,Low,Rapid,0
Nyeri,Market,Delayed,32,2021-03-17,2021-09-13,5000000,High,Medium,Stable,0
Embu,Bridge,In Progress,16,2022-06-01,2022-11-27,81000000,Medium,Low,Slow,0
Mombasa,Bridge,Delayed,98,2022-08-28,2024-07-13,62000000,Medium,High,Rapid,0
Voi,Electricity,Not Started,0,,,14000000,Medium,High,Stable,0
Eldoret,Market,Completed,100,2019-06-05,2019-10-30,30000000,Medium,Medium,Slow,0
Marsabit,Road,In Progress,52,2021-01-25,2022-10-15,23000000,Medium,Medium,Slow,0
Voi,Electricity,Not Started,0,,,99000000,Low,Low,Rapid,0
Mandera,Bridge,In Progress,31,2022-07-26,2024-06-18,71000000,High,Low,Stable,0
Marsabit,Market,Not Started,0,,,38000000,High,Low,Stable,0
Naivasha,Road,Not Started,0,,,36000000,Low,Medium,Slow,0
Mandera,Bridge,Not Started,0,,,90000000,Low,High,Stable,0
Lodwar,Market,Not Started,0,,,38000000,Low,Medium,Rapid,0
Lamu,Electricity,In Progress,29,2021-06-04,2022-10-18,87000000,Medium,High,Rapid,0
Nakuru,Road,In Progress,56,2022-12-08,2024-07-03,68000000,Medium,Medium,Rapid,0
Machakos,Water,Not Started,0,,,8000000,Medium,Medium,Stable,0
Mombasa,Hospital,Delayed,92,2022-01-27,2022-05-07,23000000,Medium,Medium,Rapid,0
Marsabit,Road,Not Started,0,,,42000000,Low,Medium,Rapid,0
Lamu,Hospital,In Progress,85,2022-11-29,2023-12-25,74000000,Medium,Low,Slow,0
Naivasha,Bridge,Delayed,4,2022-11-22,2024-10-18,85000000,Medium,Low,Stable,0
Nakuru,School,Not Started,0,,,5000000,Low,Medium,Rapid,0
Embu,Hospital,Completed,100,2019-05-22,2020-08-02,39000000,Low,High,Stable,0
Nyeri,Electricity,Completed,100,2019-06-26,2020-04-17,45000000,Low,High,Slow,0
Nairobi,School,Not Started,0,,,6000000,Low,Low,Rapid,0
Nairobi,School,Delayed,65,2021-06-18,2021-12-24,45000000,Low,High,Stable,0
Embu,Market,Delayed,96,2022-04-05,2023-12-02,10000000,Medium,High,Rapid,0
Marsabit,Water,Not Started,0,,,10000000,High,Medium,Stable,0
Garissa,Bridge,In Progress,28,2022-08-21,2023-07-14,84000000,High,High,Slow,0
Meru,Market,Delayed,89,2021-08-20,2022-09-17,93000000,Medium,Medium,Stable,0
Meru,Hospital,Completed,100,2020-10-20,2021-05-03,8000000,High,Medium,Rapid,0
Kericho,School,Completed,100,2020-06-18,2021-08-27,48000000,Medium,Low,Slow,0
Nakuru,School,Not Started,0,,,82000000,Medium,Low,Rapid,0
Thika,Road,Not Started,0,,,70000000,Medium,High,Rapid,0
Voi,Hospital,Completed,100,2020-10-12,2021-11-02,41000000,High,High,Slow,0
Voi,School,In Progress,90,2021-06-25,2022-07-14,33000000,Low,Medium,Slow,0
Lodwar,Water,Completed,100,2020-09-24,2021-12-23,41000000,High,Low,Stable,0
Kisumu,Hospital,In Progress,84,2022-10-18,2023-11-12,88000000,High,High,Rapid,0
Meru,Water,Delayed,57,2021-12-13,2022-02-15,57000000,Medium,Low,Slow,0
Embu,School,Completed,100,2019-07-27,2019-11-05,24000000,Low,Low,Stable,0
Voi,Water,In Progress,44,2021-04-10,2021-10-23,12000000,High,Low,Rapid,0
Lamu,Road,Not Started,0,,,32000000,Low,High,Rapid,1
Isiolo,Market,Completed,100,2018-04-03,2019-02-25,46000000,High,Low,Stable,0
Nakuru,School,Not Started,0,,,56000000,High,High,Stable,0
Kisumu,Market,Completed,100,2018-06-07,2019-07-25,100000000,Medium,Medium,Stable,0
Kisumu,School,Completed,100,2019-02-14,2019-07-12,78000000,Low,Low,Slow,0
Marsabit,School,In Progress,16,2021-04-19,2022-10-12,17000000,High,High,Stable,0
Machakos,School,In Progress,11,2022-10-25,2024-06-15,84000000,Medium,Low,Stable,0
Thika,Electricity,In Progress,28,2022-11-29,2024-10-03,80000000,Medium,Medium,Slow,0
Mombasa,Hospital,Completed,100,2020-01-20,2021-02-08,18000000,Medium,High,Slow,0
Nakuru,Bridge,Delayed,88,2022-12-31,2024-09-05,82000000,Low,High,Rapid,0
Lamu,Electricity,Completed,100,2019-07-21,2020-01-12,7000000,Low,Medium,Rapid,0
Machakos,Hospital,Completed,100,2018-10-01,2019-02-08,40000000,High,Low,Stable,0
Lamu,Hospital,Completed,100,2020-05-06,2021-05-05,3000000,High,High,Slow,0
Malindi,Water,Not Started,0,,,79000000,Low,High,Stable,0
Voi,Market,In Progress,16,2022-05-05,2023-10-16,97000000,Medium,High,Stable,0
Garissa,Road,Completed,100,2018-10-08,2019-10-01,90000000,Low,High,Slow,0
Kericho,Water,Not Started,0,,,50000000,High,Low,Rapid,0
Naivasha,Market,Completed,100,2018-02-16,2018-10-18,17000000,Low,High,Stable,0
Garissa,Electricity,Not Started,0,,,8000000,High,Low,Rapid,0
Wajir,Electricity,Completed,100,2018-12-26,2019-06-22,5000000,Medium,High,Stable,0
Naivasha,Market,In Progress,6,2021-12-27,2023-03-30,73000000,High,Medium,Rapid,0
Narok,School,Completed,100,2018-11-24,2020-03-04,24000000,High,Low,Rapid,0
Wajir,Electricity,Delayed,14,2022-04-29,2023-09-02,10000000,High,High,Stable,0
Kisumu,Market,Delayed,96,2021-05-12,2022-01-20,58000000,High,Medium,Stable,0
Kitale,School,Not Started,0,,,53000000,Medium,High,Slow,0
Wajir,Road,Delayed,77,2021-03-29,2022-03-09,15000000,High,High,Slow,0
Narok,School,Delayed,39,2021-02-05,2023-01-06,12000000,Low,Low,Rapid,0
Kitale,Bridge,In Progress,26,2021-08-16,2022-06-29,81000000,High,Low,Stable,0
Nakuru,Hospital,Not Started,0,,,63000000,High,Low,Rapid,0
Lamu,School,Completed,100,2020-10-27,2022-03-11,98000000,Medium,Medium,Slow,0
Kakamega,Electricity,Not Started,0,,,60000000,Medium,Medium,Slow,0
Kakamega,Water,In Progress,8,2022-04-04,2022-07-17,45000000,Low,Medium,Rapid,0
Nairobi,Bridge,Not Started,0,,,69000000,Medium,High,Stable,0
Kericho,Market,Delayed,99,2022-03-22,2023-06-15,75000000,Medium,Medium,Rapid,0
Narok,Hospital,Delayed,59,2022-11-28,2023-12-28,92000000,Low,Low,Stable,0
Kisumu,Road,Completed,100,2018-06-04,2019-09-19,57000000,High,Low,Rapid,0
Voi,Water,In Progress,84,2021-02-15,2021-06-14,5000000,High,Low,Slow,0
Thika,Market,Delayed,73,2021-04-12,2022-09-27,14000000,High,Low,Stable,0
Thika,Hospital,Completed,100,2020-11-27,2021-12-16,94000000,Medium,Medium,Rapid,0
Thika,Road,Completed,100,2020-05-21,2020-09-11,100000000,Medium,Medium,Slow,0
Machakos,Hospital,Not Started,0,,,59000000,Low,High,Slow,0
Marsabit,Market,In Progress,66,2021-12-01,2022-05-13,35000000,High,Medium,Stable,0
Garissa,Bridge,Completed,100,2019-05-01,2020-05-12,68000000,Low,Medium,Slow,0
Nairobi,Hospital,Completed,100,2020-06-12,2020-11-20,78000000,High,High,Slow,0
Narok,Water,In Progress,74,2021-02-22,2022-09-17,87000000,High,Low,Slow,0
Marsabit,Road,Delayed,42,2022-02-16,2023-11-09,74000000,Medium,Low,Stable,0
Kitale,Market,Completed,100,2020-10-30,2021-11-10,14000000,High,Low,Slow,0
Kisumu,Electricity,Delayed,51,2022-01-01,2022-07-12,84000000,High,Medium,Rapid,0
Malindi,School,Completed,100,2018-09-12,2019-12-28,62000000,Medium,Low,Stable,0
Meru,Water,Completed,100,2018-06-25,2019-07-29,57000000,Medium,Medium,Slow,0
Mombasa,Bridge,Completed,100,2019-12-16,2020-05-12,23000000,High,Low,Rapid,0
Voi,School,In Progress,37,2022-07-01,2023-09-12,5000000,Low,Low,Stable,0
Wajir,Electricity,Completed,100,2018-07-01,2019-01-11,9000000,High,Low,Rapid,0
Marsabit,Market,Not Started,0,,,60000000,Medium,Low,Rapid,0
Nakuru,School,Delayed,24,2021-01-03,2022-05-12,78000000,Medium,High,Stable,0
Kisumu,Road,In Progress,24,2021-10-27,2023-08-04,28000000,High,Low,Slow,0
Machakos,Water,Completed,100,2019-03-31,2020-02-13,12000000,Medium,Medium,Stable,0
Isiolo,Road,Delayed,3,2022-07-10,2023-10-07,42000000,Low,Low,Rapid,0
Naivasha,School,Delayed,35,2022-05-01,2022-06-23,23000000,Medium,Medium,Slow,0
Isiolo,School,Delayed,67,2022-03-22,2023-05-29,61000000,Low,Low,Stable,0
Isiolo,Bridge,Completed,100,2018-09-21,2019-12-06,18000000,Medium,Medium,Slow,0
Embu,School,Delayed,71,2022-01-31,2023-05-21,67000000,Low,Medium,Rapid,0
Meru,Electricity,Not Started,0,,,38000000,Low,Low,Slow,0
Lodwar,Water,Delayed,23,2021-11-20,2023-02-10,58000000,Low,Medium,Rapid,0
Garissa,Bridge,In Progress,5,2022-05-17,2022-10-08,32000000,Low,Low,Rapid,0
Isiolo,Road,Delayed,57,2021-12-12,2023-07-31,62000000,Low,Low,Slow,0
Kakamega,Road,Not Started,0,,,49000000,Medium,Low,Slow,0
Kisumu,Electricity,Not Started,0,,,94000000,Low,Low,Rapid,0
Marsabit,School,In Progress,11,2021-10-04,2022-06-20,8000000,High,Medium,Stable,0
Nairobi,Hospital,Not Started,0,,,84000000,Low,Medium,Slow,0
Mombasa,Water,Not Started,0,,,95000000,Low,High,Stable,0
Voi,School,Not Started,0,,,85000000,Medium,Low,Stable,0
Wajir,Market,Not Started,0,,,38000000,Low,Low,Stable,0
Meru,Road,Not Started,0,,,62000000,Medium,Low,Rapid,0
Mandera,Road,Completed,100,2018-05-28,2018-10-24,4000000,Low,High,Rapid,0
Nyeri,Water,Delayed,37,2022-11-14,2023-09-01,28000000,Low,Low,Rapid,0
Lodwar,Water,Delayed,8,2022-08-22,2023-01-26,75000000,Medium,Medium,Stable,0
Voi,Hospital,Delayed,75,2022-05-13,2023-06-22,3000000,High,Low,Slow,0
Nairobi,Electricity,Completed,100,2019-02-13,2020-03-27,36000000,Medium,Low,Rapid,0
Eldoret,School,Completed,100,2018-05-03,2019-03-17,74000000,Medium,Medium,Slow,0
Lodwar,Hospital,Completed,100,2018-05-30,2018-10-22,39000000,Medium,High,Stable,0
Nyeri,Water,Delayed,47,2022-02-26,2022-11-03,20000000,High,Low,Stable,0
Eldoret,Bridge,Delayed,57,2022-08-26,2022-09-30,16000000,Low,High,Slow,0
Mandera,Bridge,In Progress,77,2022-06-17,2023-02-03,45000000,Low,Low,Stable,0
Voi,School,Delayed,39,2021-10-16,2022-05-12,62000000,High,Low,Slow,0
Mandera,Road,In Progress,82,2022-12-13,2023-03-05,37000000,High,Low,Rapid,0
Lodwar,Bridge,Completed,100,2019-12-03,2020-05-21,12000000,Low,Medium,Rapid,0
Lamu,Bridge,Completed,100,2020-08-16,2021-12-10,25000000,Low,Medium,Slow,0
Kakamega,Bridge,Not Started,0,,,47000000,High,Medium,Stable,0
Nairobi,Bridge,In Progress,61,2021-10-30,2022-03-05,18000000,Medium,Medium,Slow,0
Naivasha,Market,Completed,100,2019-04-27,2020-01-21,33000000,Low,Low,Slow,0
Kisumu,Hospital,In Progress,21,2021-08-09,2022-01-19,88000000,Medium,Low,Slow,0
Mombasa,Water,In Progress,16,2021-01-27,2022-12-03,39000000,Medium,Medium,Rapid,0
Kisumu,Market,Completed,100,2018-08-27,2019-06-10,97000000,High,High,Stable,0
Kakamega,Hospital,Delayed,33,2022-07-18,2024-01-03,69000000,Medium,Medium,Slow,0
Mandera,Water,In Progress,68,2022-07-05,2023-02-18,28000000,Medium,High,Rapid,0
Garissa,School,Completed,100,2020-11-02,2021-03-29,54000000,Medium,High,Slow,0
Lodwar,School,Not Started,0,,,60000000,Low,Low,Slow,0
Nairobi,Hospital,Not Started,0,,,65000000,Medium,Medium,Rapid,0
Nyeri,Road,Not Started,0,,,58000000,High,Medium,Stable,0
Mombasa,Bridge,Completed,100,2020-03-07,2020-11-11,13000000,Low,High,Stable,0
Thika,Market,Not Started,0,,,73000000,High,High,Rapid,0
Nyeri,Electricity,Delayed,88,2022-06-10,2022-08-21,38000000,High,Medium,Slow,0
Nakuru,Road,Not Started,0,,,98000000,High,High,Slow,0
Lodwar,Water,In Progress,79,2021-07-16,2023-06-16,76000000,Low,Medium,Rapid,0
Kisumu,School,In Progress,63,2022-02-15,2024-01-12,40000000,Low,Medium,Rapid,0
Garissa,School,Not Started,0,,,68000000,Medium,High,Rapid,0
Thika,Water,Not Started,0,,,30000000,High,Medium,Rapid,0
Kericho,Hospital,In Progress,76,2022-12-02,2023-01-17,43000000,High,Low,Stable,0
Wajir,Electricity,Not Started,0,,,10000000,Low,Low,Stable,0
Garissa,Market,Not Started,0,,,46000000,Low,High,Slow,0
Nairobi,Market,Completed,100,2020-08-25,2021-08-19,20000000,Medium,High,Slow,0
Malindi,Market,Not Started,0,,,80000000,Medium,Medium,Stable,0
Voi,Hospital,Not Started,0,,,37000000,High,Medium,Stable,0
Malindi,Hospital,Completed,100,2019-09-29,2020-12-30,66000000,Medium,High,Slow,0
Naivasha,Bridge,Completed,100,2018-08-09,2019-01-15,38000000,High,Medium,Slow,0
Kericho,School,Delayed,91,2022-03-23,2022-09-09,63000000,Medium,Medium,Slow,0
Nakuru,Water,Delayed,36,2021-05-23,2022-01-28,6000000,High,High,Slow,0
Mombasa,Road,Not Started,0,,,67000000,Low,High,Slow,0
Garissa,Road,Completed,100,2018-12-29,2020-04-18,65000000,High,High,Slow,0
Isiolo,Water,Completed,100,2019-05-02,2019-10-13,53000000,High,High,Slow,0
Nairobi,Electricity,Delayed,54,2022-03-23,2024-01-03,61000000,Medium,Low,Stable,0
Voi,Electricity,Completed,100,2020-03-12,2020-09-21,49000000,Medium,High,Rapid,0
Mombasa,Bridge,Not Started,0,,,70000000,Low,High,Stable,0
Marsabit,Hospital,Completed,100,2018-07-23,2019-09-19,26000000,Low,High,Stable,0
Nairobi,Hospital,Completed,100,2018-08-09,2019-03-16,8000000,High,Medium,Stable,0
Wajir,School,In Progress,74,2022-12-22,2024-07-29,69000000,High,Medium,Rapid,0
Naivasha,Electricity,Delayed,54,2022-11-28,2024-05-11,49000000,High,Medium,Stable,0
Marsabit,Road,Delayed,88,2021-04-06,2022-01-11,70000000,Medium,Medium,Slow,0
Nairobi,Bridge,Delayed,21,2022-09-29,2024-02-14,12000000,High,High,Rapid,0
Kitale,Electricity,Completed,100,2018-11-30,2019-06-13,90000000,Medium,Low,Rapid,0
Malindi,Water,Delayed,51,2022-01-18,2023-09-18,19000000,Medium,Low,Slow,0
Mandera,Road,Delayed,75,2022-11-18,2024-01-02,36000000,High,High,Stable,0
Lamu,Water,In Progress,41,2021-05-15,2022-09-19,3000000,Low,Low,Stable,0
Mombasa,Road,Delayed,79,2022-11-28,2023-03-26,95000000,Medium,Medium,Slow,0
Machakos,Market,Completed,100,2019-11-01,2021-01-27,78000000,Medium,Medium,Rapid,0
Mandera,Bridge,Not Started,0,,,76000000,High,Medium,Stable,0
Nakuru,Water,Delayed,61,2021-12-17,2022-12-25,89000000,Low,Medium,Rapid,0
Embu,Hospital,Delayed,18,2022-11-18,2023-08-25,39000000,Low,High,Stable,0
Naivasha,Water,Delayed,16,2021-11-15,2023-04-16,85000000,High,Medium,Stable,0
Mandera,Electricity,Delayed,6,2021-02-23,2022-04-10,29000000,High,Medium,Rapid,0
Nairobi,School,Not Started,0,,,36000000,High,Medium,Slow,0
Nyeri,Water,Not Started,0,,,77000000,High,High,Stable,0
Thika,Electricity,Completed,100,2020-07-26,2021-11-16,98000000,High,High,Stable,0
Kakamega,Electricity,In Progress,83,2022-07-12,2023-06-04,5000000,High,Medium,Rapid,0
Eldoret,Road,Delayed,31,2022-12-12,2023-11-02,52000000,Medium,Low,Stable,0
Voi,Water,Not Started,0,,,78000000,Low,Low,Stable,0
Nakuru,Market,Delayed,2,2022-02-01,2023-06-26,98000000,High,Medium,Slow,0
Narok,Water,Delayed,21,2022-03-06,2024-01-10,41000000,Low,Medium,Stable,0
Garissa,School,Not Started,0,,,60000000,Low,Low,Stable,0
Embu,Market,Completed,100,2019-07-29,2019-12-20,97000000,High,Low,Rapid,0
Narok,Market,Delayed,5,2021-02-07,2022-04-20,7000000,Medium,Medium,Rapid,0
Nakuru,Market,Delayed,1,2022-09-16,2024-04-02,76000000,Low,High,Rapid,1
Embu,Road,Completed,100,2018-12-11,2019-09-13,59000000,Medium,Medium,Stable,0
Narok,Water,In Progress,52,2022-05-03,2023-04-17,80000000,High,Medium,Slow,0
Eldoret,Road,Completed,100,2018-05-06,2018-08-25,71000000,High,Medium,Rapid,0
Wajir,Hospital,Not Started,0,,,44000000,Low,Low,Stable,0
