Settlement Name,Project Type,Project Completion Status,Completion Percentage,Start Date,End Date,Project Budget (KES),Requirement,Population,Implementing Partner,Type of Settlement
Busia,Agriculture,Completed,100,2019-05-26,2020-04-30,119234.8190296693,N/A,47540,UNICEF,Semi-Rural
Trans Nzoia,Water Supply,Completed,100,2020-11-12,2021-02-02,793065.2121916156,N/A,99142,Oxfam,Rural
Kakamega,Sanitation,Completed,100,2018-01-01,2018-03-22,56792.97868925727,N/A,14456,World Bank,Rural
Nyeri,School Construction,Completed,100,2018-04-05,2018-07-15,312121.39501504664,N/A,38744,UNICEF,Rural
West Pokot,Sanitation,Completed,100,2018-09-25,2018-12-17,514242.5081372943,N/A,62877,USAID,Semi-Rural
Eldoret,Agriculture,Completed,100,2021-05-15,2022-01-28,274844.307184865,N/A,89464,AMREF,Rural
Kericho,Sanitation,Completed,100,2020-03-16,2021-02-14,186985.2483531684,N/A,60494,World Bank,Semi-Rural
Kiambu,Agriculture,Completed,100,2020-09-10,2021-09-09,491213.63036193803,N/A,62886,World Bank,Semi-Rural
Elgeyo Marakwet,Renewable Energy,Completed,100,2018-07-03,2019-06-27,423075.722046545,N/A,44088,World Vision,Rural
Homa Bay,Community Center,Completed,100,2018-05-06,2019-01-25,652790.7732701765,N/A,93705,Oxfam,Rural
Naivasha,Health Clinic,Completed,100,2021-10-29,2021-12-05,158355.47783481274,N/A,25214,AMREF,Semi-Urban
Nakuru,Community Center,Completed,100,2018-04-03,2018-10-09,387522.7394754395,N/A,42240,Red Cross,Semi-Rural
Lamu,Road Construction,Completed,100,2021-11-29,2022-11-19,374263.103648188,N/A,88505,Oxfam,Rural
Eldoret,Water Supply,Completed,100,2021-01-01,2021-11-08,463056.27789359284,N/A,94229,World Vision,Rural
Kisii,Renewable Energy,Completed,100,2018-12-03,2019-01-27,184426.00669967034,N/A,56645,ActionAid,Semi-Rural
Nairobi,Community Center,Completed,100,2019-10-01,2019-12-25,956074.2955633063,N/A,80714,UNICEF,Urban
Kisii,Agriculture,Completed,100,2018-12-31,2019-07-02,147048.92945266137,N/A,29699,World Vision,Semi-Rural
Kitale,Health Clinic,Completed,100,2021-07-21,2022-06-09,1071133.545590801,N/A,85717,Save the Children,Semi-Urban
Tana River,Health Clinic,Completed,100,2021-07-20,2022-04-06,198312.1244605478,N/A,39518,AMREF,Semi-Rural
West Pokot,Agriculture,Completed,100,2018-03-08,2018-11-25,31017.207332275262,N/A,4596,AMREF,Rural
Kiambu,Renewable Energy,Completed,100,2021-10-24,2022-07-16,181219.6177896574,N/A,27069,Red Cross,Rural
Wajir,Water Supply,Completed,100,2018-11-11,2019-07-27,588444.7209338803,N/A,63981,Oxfam,Rural
Narok,Road Construction,Completed,100,2019-05-31,2020-05-25,301132.37223061797,N/A,93436,CARE,Semi-Rural
Elgeyo Marakwet,Renewable Energy,Completed,100,2019-06-27,2019-09-04,248575.7203847366,N/A,28446,ActionAid,Rural
Kwale,Community Center,Completed,100,2019-10-08,2020-03-03,413907.77658059256,N/A,42427,CARE,Rural
Elgeyo Marakwet,Community Center,Completed,100,2019-12-16,2020-02-09,121941.13767091856,N/A,14234,CARE,Rural
Eldoret,Agriculture,Completed,100,2019-06-16,2019-11-05,331344.1023227415,N/A,43101,World Vision,Semi-Rural
Nairobi,Sanitation,Ongoing,86,2018-09-16,,42592.61988584233,N/A,2828,CARE,Urban
Narok,Agriculture,Completed,100,2018-06-21,2018-08-02,185696.89150084867,N/A,60383,USAID,Semi-Rural
Mombasa,School Construction,Ongoing,84,2020-06-29,,39380.793754484424,N/A,2342,UNICEF,Urban
Siaya,Agriculture,Completed,100,2018-11-14,2019-08-06,178501.07099887135,N/A,37258,Save the Children,Semi-Rural
Kericho,Road Construction,Completed,100,2019-05-28,2020-04-17,261323.91957873607,N/A,71792,ActionAid,Semi-Rural
Kisii,School Construction,Completed,100,2021-08-07,2022-04-06,342827.9875323833,N/A,42832,ActionAid,Rural
Eldoret,Health Clinic,Completed,100,2019-02-06,2019-12-28,97888.59472007636,N/A,21611,World Vision,Semi-Rural
Marsabit,Community Center,Completed,100,2018-05-23,2018-11-21,327915.4493228986,N/A,74340,World Bank,Rural
Narok,Renewable Energy,Completed,100,2020-11-28,2021-07-13,49091.16013797139,N/A,19381,Save the Children,Semi-Rural
Kisumu,Renewable Energy,Completed,100,2021-08-05,2022-04-22,432219.7962332579,N/A,25519,World Bank,Urban
Samburu,School Construction,Completed,100,2020-08-08,2021-06-22,443625.6202622122,N/A,98720,CARE,Semi-Rural
Nakuru,Agriculture,Completed,100,2021-02-15,2022-01-04,197988.35335526516,N/A,33265,USAID,Rural
Nandi,Renewable Energy,Completed,100,2021-07-08,2022-01-10,497994.07267780637,N/A,72895,Red Cross,Rural
Nakuru,School Construction,Completed,100,2020-03-04,2021-01-26,118632.65225331967,N/A,17478,USAID,Rural
Eldoret,School Construction,Completed,100,2018-12-12,2019-11-08,295289.31810235,N/A,77325,World Vision,Rural
Machakos,Sanitation,Completed,100,2019-11-14,2020-11-01,74355.94631270455,N/A,18368,ActionAid,Rural
Kilifi,Community Center,Completed,100,2020-10-10,2020-12-29,189266.30662636957,N/A,28632,World Vision,Rural
Kericho,Community Center,Completed,100,2021-11-29,2022-04-17,44542.49354426125,N/A,4797,AMREF,Semi-Rural
Bomet,Water Supply,Completed,100,2019-10-23,2020-09-25,333202.1125495256,N/A,54173,UNICEF,Rural
Kakamega,School Construction,Completed,100,2019-06-21,2019-10-18,461874.6043438421,N/A,98945,AMREF,Rural
Taita Taveta,Sanitation,Completed,100,2020-07-27,2021-05-03,76361.49651383063,N/A,9666,Save the Children,Rural
Siaya,Water Supply,Completed,100,2018-06-26,2019-05-06,384418.07732127357,N/A,71835,Save the Children,Rural
Turkana,Agriculture,Completed,100,2020-04-28,2020-08-19,42177.98030054619,N/A,11395,World Vision,Rural
Homa Bay,Agriculture,Completed,100,2018-11-23,2019-09-05,613805.1896088432,N/A,97731,CARE,Semi-Rural
Nyeri,Agriculture,Ongoing,41,2019-11-01,,12811.130201270636,N/A,3482,Save the Children,Rural
Uasin Gishu,Agriculture,Completed,100,2021-04-13,2021-11-22,227577.94131464895,N/A,90106,ActionAid,Semi-Rural
Trans Nzoia,Water Supply,Completed,100,2021-07-11,2021-10-03,80866.87629106481,N/A,12485,USAID,Rural
Kisumu,Community Center,Completed,100,2018-02-24,2019-01-07,1169801.8132163503,N/A,76629,World Vision,Urban
Kitale,Road Construction,Completed,100,2018-11-24,2019-02-15,584519.9592453355,N/A,77534,ActionAid,Semi-Urban
Kilifi,Health Clinic,Completed,100,2018-04-06,2018-08-01,162376.9205851959,N/A,25160,World Bank,Semi-Rural
Laikipia,Community Center,Completed,100,2020-01-05,2020-12-10,409620.20921345206,N/A,55771,Red Cross,Semi-Rural
Kiambu,Renewable Energy,Completed,100,2021-11-05,2022-01-09,62389.7495811771,N/A,17032,World Vision,Rural
Kiambu,Sanitation,Completed,100,2021-11-10,2022-06-22,114746.28268599778,N/A,24236,UNICEF,Rural
Machakos,School Construction,Completed,100,2021-06-03,2021-08-24,182377.43711644452,N/A,34572,Oxfam,Semi-Rural
Tana River,School Construction,Completed,100,2019-09-24,2019-12-21,58582.515378496646,N/A,18771,World Vision,Semi-Rural
Bomet,Community Center,Completed,100,2019-07-06,2020-03-28,64365.96964307797,N/A,29529,UNICEF,Rural
Marsabit,Water Supply,Ongoing,67,2018-01-29,,162175.37179675925,N/A,18685,CARE,Rural
Kajiado,Renewable Energy,Completed,100,2018-02-11,2018-04-22,712144.2095793077,N/A,82994,Oxfam,Semi-Rural
Kajiado,Water Supply,Completed,100,2018-12-08,2019-02-02,588595.7155538287,N/A,98432,Oxfam,Rural
Nandi,Agriculture,Completed,100,2020-06-24,2021-01-12,688978.9794624669,N/A,97523,ActionAid,Rural
West Pokot,Road Construction,Completed,100,2021-10-18,2022-05-28,88845.09007589387,N/A,37397,World Vision,Rural
Kwale,Health Clinic,Completed,100,2019-11-07,2020-03-28,277587.26998193853,N/A,54276,World Vision,Rural
Marsabit,Community Center,Ongoing,31,2018-03-10,,154000.84149109284,N/A,29769,World Bank,Semi-Rural
Narok,Sanitation,Completed,100,2020-08-15,2021-04-02,309317.3242852976,N/A,75478,Red Cross,Semi-Rural
Mombasa,Road Construction,Completed,100,2018-03-02,2018-07-13,216895.16505881943,N/A,16048,AMREF,Urban
Wajir,Water Supply,Completed,100,2018-06-21,2018-10-30,216848.1612984933,N/A,25354,Save the Children,Semi-Rural
Machakos,Health Clinic,Completed,100,2018-01-12,2018-12-25,684845.5107470126,N/A,70626,Oxfam,Semi-Rural
Siaya,Health Clinic,Completed,100,2019-01-09,2019-08-24,112029.29163004522,N/A,13254,ActionAid,Semi-Rural
Busia,Sanitation,Completed,100,2018-02-16,2018-12-30,591966.9443171326,N/A,78454,AMREF,Semi-Rural
Meru,Renewable Energy,Completed,100,2019-01-26,2019-11-21,84977.13885203922,N/A,13182,UNICEF,Rural
Kitale,Water Supply,Completed,100,2019-08-17,2020-04-25,501817.8637090727,N/A,81559,World Bank,Semi-Urban
Elgeyo Marakwet,School Construction,Completed,100,2021-07-20,2021-09-01,92995.57013173391,N/A,20426,Save the Children,Rural
Siaya,Health Clinic,Completed,100,2018-07-02,2018-09-08,628714.262693436,N/A,83050,USAID,Rural
Nakuru,Road Construction,Completed,100,2021-12-20,2022-05-06,60009.06998245237,N/A,8564,CARE,Semi-Rural
Mombasa,Renewable Energy,Completed,100,2021-03-10,2022-01-07,1062702.937432575,N/A,53393,World Bank,Urban
Laikipia,Community Center,Completed,100,2020-08-15,2021-07-28,969614.8534657505,N/A,97122,World Bank,Rural
Meru,Community Center,Completed,100,2019-07-31,2020-02-22,239576.89862916138,N/A,51072,AMREF,Rural
Kericho,Community Center,Completed,100,2019-03-08,2019-10-16,437349.30524198036,N/A,56619,USAID,Rural
Embu,Water Supply,Ongoing,46,2018-03-02,,270886.10195129615,N/A,90431,UNICEF,Rural
Turkana,School Construction,Ongoing,20,2020-12-21,,16313.501307658156,N/A,1806,CARE,Rural
Kajiado,Water Supply,Completed,100,2021-08-26,2022-05-25,205207.3460499158,N/A,81435,Save the Children,Rural
Kakamega,Health Clinic,Completed,100,2018-02-23,2018-05-10,292783.7352829489,N/A,83856,USAID,Rural
Garissa,Health Clinic,Completed,100,2019-02-23,2019-09-18,119646.26297680476,N/A,19297,Red Cross,Semi-Rural
Bungoma,Community Center,Completed,100,2020-06-11,2020-10-07,170246.88880016125,N/A,29831,World Bank,Rural
Nakuru,Agriculture,Completed,100,2020-09-14,2020-11-11,168433.6331900778,N/A,18674,Oxfam,Rural
Kisumu,Water Supply,Completed,100,2021-07-08,2022-03-20,278849.5980387984,N/A,26931,USAID,Urban
Siaya,School Construction,Completed,100,2020-07-02,2020-09-06,614328.4389208549,N/A,81199,CARE,Semi-Rural
Nyeri,School Construction,Completed,100,2018-08-12,2019-07-25,775143.9516265844,N/A,87988,Oxfam,Rural
Kisumu,Community Center,Completed,100,2021-08-05,2022-05-23,487232.0611530592,N/A,31561,ActionAid,Urban
Siaya,Health Clinic,Completed,100,2020-02-20,2020-05-04,604659.6019643765,N/A,68675,ActionAid,Rural
Wajir,School Construction,Completed,100,2020-04-05,2021-01-08,179612.99776430815,N/A,54947,CARE,Rural
Nandi,Renewable Energy,Ongoing,40,2018-03-23,,17408.456151917988,N/A,3719,World Vision,Semi-Rural
Mombasa,Agriculture,Completed,100,2021-02-10,2021-10-30,987325.5631024708,N/A,76713,Save the Children,Urban
Bungoma,Community Center,Completed,100,2020-10-04,2021-09-24,28989.16579102131,N/A,13987,USAID,Rural
Elgeyo Marakwet,Renewable Energy,Completed,100,2019-07-26,2020-07-24,856585.8413171294,N/A,88272,World Vision,Semi-Rural
Kilifi,Road Construction,Completed,100,2021-09-09,2022-05-15,49179.13333029497,N/A,14507,CARE,Semi-Rural
Bungoma,School Construction,Completed,100,2019-04-19,2019-09-15,431983.01455934416,N/A,64888,CARE,Rural
Kiambu,Sanitation,Completed,100,2020-10-27,2020-12-24,279360.3458060935,N/A,91874,Red Cross,Rural
Narok,Agriculture,Completed,100,2021-12-24,2022-09-05,209670.40612691102,N/A,28082,World Bank,Rural
Nakuru,Water Supply,Completed,100,2020-03-07,2020-09-09,66605.93359552167,N/A,7540,World Bank,Rural
Laikipia,Sanitation,Ongoing,65,2020-09-15,,12486.437379148674,N/A,4093,Red Cross,Rural
Meru,Road Construction,Completed,100,2021-07-04,2021-09-29,403237.6368651159,N/A,49901,Red Cross,Semi-Rural
Taita Taveta,Renewable Energy,Ongoing,33,2021-07-18,,10736.561982201309,N/A,2980,USAID,Semi-Rural
Meru,Health Clinic,Completed,100,2021-08-25,2021-10-01,78614.09768647618,N/A,22563,ActionAid,Rural
Samburu,Agriculture,Completed,100,2019-11-24,2020-01-16,67944.77619848058,N/A,31707,USAID,Semi-Rural
Kisumu,School Construction,Completed,100,2021-06-13,2022-02-25,545659.8002435645,N/A,48837,AMREF,Urban
Garissa,Agriculture,Completed,100,2019-08-07,2019-11-08,28146.629274265804,N/A,6109,AMREF,Rural
Bungoma,Community Center,Completed,100,2019-08-30,2020-03-12,141806.03782163223,N/A,27589,Oxfam,Semi-Rural
Naivasha,Road Construction,Completed,100,2020-02-18,2020-10-18,948405.2428027176,N/A,65288,AMREF,Semi-Urban
Siaya,Water Supply,Completed,100,2019-08-15,2020-07-19,400668.78691780934,N/A,40499,UNICEF,Semi-Rural
Trans Nzoia,School Construction,Completed,100,2018-01-02,2018-09-13,619101.8805836511,N/A,75441,UNICEF,Rural
Mandera,Road Construction,Completed,100,2018-07-13,2019-01-24,235661.75541553536,N/A,89652,UNICEF,Rural
West Pokot,Agriculture,Completed,100,2019-03-04,2020-02-01,710622.3484452639,N/A,82905,World Vision,Semi-Rural
Naivasha,Road Construction,Completed,100,2021-10-14,2022-06-23,269971.33951115055,N/A,50786,World Bank,Semi-Urban
Laikipia,Water Supply,Completed,100,2021-09-03,2021-12-25,823481.8538098544,N/A,91827,USAID,Semi-Rural
Kitale,Health Clinic,Completed,100,2019-02-14,2019-03-18,1042469.6494343445,N/A,99511,Red Cross,Semi-Urban
Mandera,School Construction,Completed,100,2018-03-28,2018-05-08,100489.19063498113,N/A,37877,World Vision,Rural
Busia,Road Construction,Completed,100,2019-11-16,2020-07-23,128518.71049734241,N/A,27745,World Bank,Rural
Laikipia,Health Clinic,Completed,100,2021-10-07,2022-09-13,594834.0225897061,N/A,76717,USAID,Rural
Kisumu,School Construction,Completed,100,2021-05-15,2022-05-11,167115.50099221623,N/A,9946,World Vision,Urban
Elgeyo Marakwet,Road Construction,Ongoing,29,2020-08-13,,17154.046329514083,N/A,1956,World Vision,Semi-Rural
Laikipia,Water Supply,Completed,100,2019-08-01,2020-07-30,209477.543395888,N/A,26849,Red Cross,Semi-Rural
Kwale,Agriculture,Completed,100,2019-09-29,2020-07-22,131179.2152721057,N/A,13201,Save the Children,Rural
Kiambu,Community Center,Completed,100,2018-04-10,2019-01-04,333750.8275602322,N/A,85878,Oxfam,Semi-Rural
Bomet,Sanitation,Completed,100,2019-07-07,2020-06-18,181097.68291857338,N/A,34142,USAID,Semi-Rural
Kericho,Community Center,Completed,100,2021-03-14,2021-05-10,350913.8332340473,N/A,48064,Save the Children,Semi-Rural
Tana River,Road Construction,Completed,100,2018-10-28,2019-09-25,120851.70668107382,N/A,14760,Oxfam,Rural
Naivasha,Sanitation,Completed,100,2020-04-23,2021-02-03,230376.62661296138,N/A,34397,World Bank,Semi-Urban
Eldoret,School Construction,Completed,100,2020-06-04,2021-04-13,772175.3405294877,N/A,80530,ActionAid,Rural
Turkana,Road Construction,Completed,100,2018-06-05,2019-01-27,96016.48956035334,N/A,16563,Oxfam,Semi-Rural
Homa Bay,Sanitation,Completed,100,2020-03-07,2020-04-06,421856.5425454533,N/A,67504,USAID,Rural
Tana River,Agriculture,Completed,100,2019-11-22,2020-07-14,79639.10718800152,N/A,29404,Oxfam,Semi-Rural
Wajir,School Construction,Completed,100,2018-08-05,2019-07-06,350508.27869915596,N/A,36057,Oxfam,Rural
Marsabit,Renewable Energy,Completed,100,2021-08-10,2022-02-06,47155.792769659165,N/A,7638,ActionAid,Semi-Rural
Meru,Sanitation,Ongoing,10,2020-10-11,,619150.3653551572,N/A,83811,World Vision,Semi-Rural
Uasin Gishu,Community Center,Completed,100,2021-05-01,2022-04-06,372546.01154917525,N/A,38380,CARE,Rural
West Pokot,Health Clinic,Completed,100,2018-10-30,2019-07-18,222994.83604348567,N/A,56409,World Vision,Rural
Machakos,Health Clinic,Completed,100,2021-03-16,2022-01-26,287179.5048273111,N/A,38208,ActionAid,Semi-Rural
Kericho,Road Construction,Completed,100,2020-10-06,2021-05-15,79831.1948811105,N/A,27984,Oxfam,Semi-Rural
Garissa,Water Supply,Completed,100,2019-08-12,2020-02-16,790158.0805705758,N/A,88128,AMREF,Rural
Naivasha,School Construction,Completed,100,2019-02-01,2019-12-06,430054.81273516675,N/A,30165,USAID,Semi-Urban
Lamu,Road Construction,Ongoing,24,2020-12-24,,10355.516583073477,N/A,2367,UNICEF,Semi-Rural
Kitale,Renewable Energy,Completed,100,2018-11-01,2019-07-12,699419.62383394,N/A,78714,Oxfam,Semi-Urban
Tana River,School Construction,Completed,100,2020-08-31,2021-08-25,431582.31999705185,N/A,64449,CARE,Semi-Rural
Garissa,Health Clinic,Completed,100,2019-09-21,2020-05-28,912902.6332911748,N/A,94977,Oxfam,Semi-Rural
Busia,School Construction,Completed,100,2020-02-22,2020-05-04,514988.55945461435,N/A,82889,Oxfam,Semi-Rural
Bomet,Agriculture,Completed,100,2019-02-11,2019-06-27,269911.93342952605,N/A,27987,USAID,Rural
Meru,Renewable Energy,Completed,100,2018-02-20,2018-12-17,849651.5378226119,N/A,88163,Oxfam,Semi-Rural
Migori,Road Construction,Completed,100,2020-10-04,2020-12-24,108659.32015649775,N/A,38650,CARE,Semi-Rural
Samburu,Road Construction,Completed,100,2019-08-12,2020-01-20,431108.8364242999,N/A,55691,World Bank,Semi-Rural
Busia,Agriculture,Completed,100,2020-08-16,2021-07-23,155797.56461306324,N/A,45139,Save the Children,Rural
Wajir,Road Construction,Completed,100,2021-11-09,2022-05-29,138202.5750936322,N/A,25611,World Vision,Semi-Rural
Wajir,Renewable Energy,Completed,100,2020-11-15,2020-12-23,568201.1739428979,N/A,66429,Save the Children,Rural
Kakamega,Community Center,Completed,100,2020-12-08,2021-06-09,706369.6777002194,N/A,76388,World Vision,Rural
