Settlement Name,Project Type,Project Completion Status,Completion Percentage,Project Budget (KES),Requirement,Population,Implementing Partner,Type of Settlement
SET_0028,Hospital Development,Completed On Time,100,14807108.13147754,Hospital Development Requirement 27,35754,IP_01,Semi Urban
SET_0029,School Building,Ongoing,54,3698656.904196095,School Building Requirement 28,12111,IP_10,Semi Urban
SET_0030,Hospital Development,Completed On Time,100,7913825.733016844,Hospital Development Requirement 29,17646,IP_17,Semi Rural
SET_0031,School Building,Cancelled,5,14616619.911912074,School Building Requirement 30,32616,IP_09,Semi Rural
SET_0032,Road Construction,Delayed,69,20585767.039247666,Road Construction Requirement 31,43642,IP_20,Semi Rural
SET_0033,Hospital Development,Delayed,69,10708918.301687397,Hospital Development Requirement 32,33711,IP_03,Semi Rural
SET_0034,Road Construction,Completed Behind Schedule,81,33864792.31896515,Road Construction Requirement 33,69497,IP_09,Semi Urban
SET_0035,Market Place Construction,Completed On Time,100,33247753.73457371,Market Place Construction Requirement 34,91272,IP_08,Semi Urban
SET_0036,Hospital Development,Ongoing,41,36711566.86767575,Hospital Development Requirement 35,87416,IP_14,Semi Urban
SET_0037,Energy,Completed Behind Schedule,87,39012500.66434827,Energy Requirement 36,80909,IP_01,Semi Urban
SET_0038,Market Place Construction,Delayed,77,13808152.632428933,Market Place Construction Requirement 37,40790,IP_03,Semi Rural
SET_0039,Road Construction,Stalled,38,26841081.20427928,Road Construction Requirement 38,74744,IP_09,Semi Urban
SET_0040,Water Supply,Completed Behind Schedule,82,9959338.312356351,Water Supply Requirement 39,19711,IP_01,Semi Urban
SET_0041,Hospital Development,Completed Behind Schedule,82,10554291.001473363,Hospital Development Requirement 40,27641,IP_15,Semi Urban
SET_0042,Energy,Completed On Time,100,4562395.080810203,Energy Requirement 41,19070,IP_08,Semi Rural
SET_0043,Road Construction,Ongoing,71,43521620.62523097,Road Construction Requirement 42,79069,IP_13,Semi Urban
SET_0044,Market Place Construction,Ongoing,74,27930232.433930714,Market Place Construction Requirement 43,88545,IP_14,Urban
SET_0045,Energy,Completed Behind Schedule,81,28860802.744443458,Energy Requirement 44,92083,IP_19,Urban
SET_0046,Road Construction,Cancelled,17,16476446.893981896,Road Construction Requirement 45,53921,IP_11,Urban
SET_0047,Market Place Construction,Delayed,77,34430073.57695579,Market Place Construction Requirement 46,93772,IP_04,Urban
SET_0048,Energy,Ongoing,76,28775824.711667106,Energy Requirement 47,67412,IP_16,Semi Urban
SET_0049,Water Supply,Completed Behind Schedule,96,5030575.125686015,Water Supply Requirement 48,18019,IP_05,Semi Rural
SET_0050,School Building,Delayed,58,2737002.702382539,School Building Requirement 49,9308,IP_01,Semi Rural
SET_0051,School Building,Completed On Time,100,12910857.4741457,School Building Requirement 50,47175,IP_01,Semi Rural
SET_0052,Water Supply,Ongoing,51,23044885.77096835,Water Supply Requirement 51,54222,IP_16,Semi Urban
SET_0053,Hospital Development,Completed On Time,100,2409656.8585275207,Hospital Development Requirement 52,14284,IP_17,Semi Rural
SET_0054,Energy,Ongoing,41,24451743.07440518,Energy Requirement 53,96981,IP_07,Semi Urban
SET_0055,Market Place Construction,Completed Behind Schedule,89,39123808.31499347,Market Place Construction Requirement 54,63752,IP_20,Semi Urban
SET_0056,School Building,Ongoing,30,10591300.489258774,School Building Requirement 55,24289,IP_16,Semi Urban
SET_0057,School Building,Ongoing,56,50697171.24876451,School Building Requirement 56,95704,IP_03,Semi Urban
SET_0058,Market Place Construction,Delayed,60,58834067.866788745,Market Place Construction Requirement 57,92680,IP_01,Urban
SET_0059,School Building,Completed On Time,100,24716936.470975585,School Building Requirement 58,83986,IP_19,Semi Urban
SET_0060,School Building,Ongoing,58,12945417.379359016,School Building Requirement 59,28350,IP_02,Semi Urban
SET_0061,Hospital Development,Ongoing,79,8724771.372924587,Hospital Development Requirement 60,21358,IP_04,Semi Rural
SET_0062,Road Construction,Completed On Time,100,22264772.808292337,Road Construction Requirement 61,61692,IP_03,Urban
SET_0063,Road Construction,Completed On Time,100,27137218.548323136,Road Construction Requirement 62,84042,IP_05,Semi Urban
SET_0064,Market Place Construction,Delayed,74,11245506.292155633,Market Place Construction Requirement 63,37208,IP_17,Semi Urban
SET_0065,Energy,Completed Behind Schedule,92,17065436.294818297,Energy Requirement 64,42555,IP_12,Semi Rural
SET_0066,Water Supply,Completed On Time,100,32477106.982704177,Water Supply Requirement 65,73936,IP_20,Urban
SET_0067,Hospital Development,Completed On Time,100,19451374.902927738,Hospital Development Requirement 66,61921,IP_20,Urban
SET_0068,Hospital Development,Stalled,25,39725880.13363875,Hospital Development Requirement 67,88508,IP_10,Semi Urban
SET_0069,School Building,Ongoing,34,4708097.872542997,School Building Requirement 68,12174,IP_11,Semi Rural
SET_0070,School Building,Delayed,61,48927579.93696256,School Building Requirement 69,73267,IP_14,Urban
SET_0071,Water Supply,Completed Behind Schedule,81,11814847.176883413,Water Supply Requirement 70,51343,IP_19,Semi Urban
SET_0072,Water Supply,Delayed,56,13619172.756036464,Water Supply Requirement 71,27432,IP_06,Semi Rural
SET_0073,Market Place Construction,Delayed,71,9229385.902614068,Market Place Construction Requirement 72,20870,IP_19,Semi Urban
SET_0074,Energy,Completed On Time,100,15752746.678273018,Energy Requirement 73,45482,IP_08,Semi Urban
SET_0075,Water Supply,Ongoing,32,12791842.157535337,Water Supply Requirement 74,26470,IP_17,Semi Urban
SET_0076,Road Construction,Completed On Time,100,16975522.944353133,Road Construction Requirement 75,34591,IP_13,Semi Urban
SET_0077,Water Supply,Stalled,37,4413349.930584623,Water Supply Requirement 76,21559,IP_20,Semi Rural
SET_0078,Road Construction,Completed On Time,100,31429389.71755716,Road Construction Requirement 77,72726,IP_03,Urban
SET_0079,Road Construction,Cancelled,16,3343669.8563490896,Road Construction Requirement 78,8114,IP_08,Semi Rural
SET_0080,School Building,Completed Behind Schedule,97,11201029.187045647,School Building Requirement 79,47427,IP_04,Semi Rural
SET_0081,Hospital Development,Ongoing,62,18559189.605411068,Hospital Development Requirement 80,48605,IP_16,Semi Urban
SET_0082,Water Supply,Completed On Time,100,11922560.804394126,Water Supply Requirement 81,28532,IP_05,Semi Rural
SET_0083,Road Construction,Delayed,76,14324138.961408265,Road Construction Requirement 82,66545,IP_01,Semi Urban
SET_0084,Energy,Cancelled,17,8985962.783448884,Energy Requirement 83,28712,IP_17,Semi Rural
SET_0085,Water Supply,Completed On Time,100,3622926.5639084633,Water Supply Requirement 84,21384,IP_06,Semi Rural
SET_0086,Market Place Construction,Cancelled,6,10799779.39061555,Market Place Construction Requirement 85,19384,IP_05,Semi Urban
SET_0087,School Building,Completed On Time,100,11558931.039602907,School Building Requirement 86,33201,IP_19,Semi Urban
SET_0088,Water Supply,Completed On Time,100,6883992.229834586,Water Supply Requirement 87,18100,IP_08,Semi Rural
SET_0089,School Building,Delayed,76,21478066.334140368,School Building Requirement 88,59017,IP_12,Semi Urban
SET_0090,Water Supply,Completed Behind Schedule,95,9795783.780176826,Water Supply Requirement 89,25285,IP_05,Semi Urban
SET_0091,Water Supply,Delayed,56,19044637.084875103,Water Supply Requirement 90,78709,IP_06,Semi Urban
SET_0092,School Building,Completed Behind Schedule,98,29351540.02332514,School Building Requirement 91,56393,IP_06,Semi Urban
SET_0093,Road Construction,Completed Behind Schedule,89,66912259.24613951,Road Construction Requirement 92,98239,IP_04,Urban
SET_0094,School Building,Completed Behind Schedule,99,28498622.63298098,School Building Requirement 93,56479,IP_02,Urban
SET_0095,Water Supply,Completed On Time,100,8696337.985250909,Water Supply Requirement 94,37586,IP_16,Semi Urban
SET_0096,Hospital Development,Ongoing,69,4468505.396571131,Hospital Development Requirement 95,12637,IP_03,Semi Rural
SET_0097,Hospital Development,Completed On Time,100,18448079.248917144,Hospital Development Requirement 96,70724,IP_05,Semi Urban
SET_0098,School Building,Completed On Time,100,7867572.328281516,School Building Requirement 97,37668,IP_14,Semi Rural
SET_0099,School Building,Completed Behind Schedule,94,44163805.23192965,School Building Requirement 98,92865,IP_11,Urban
SET_0100,Water Supply,Delayed,57,1784219.5628534218,Water Supply Requirement 99,5432,IP_15,Semi Rural
SET_0101,Energy,Delayed,63,3288404.950464398,Energy Requirement 100,9717,IP_14,Semi Rural
SET_0102,Hospital Development,Delayed,63,1325216.6400670118,Hospital Development Requirement 101,6126,IP_18,Rural
SET_0103,School Building,Completed Behind Schedule,84,31338421.982441064,School Building Requirement 102,89869,IP_17,Urban
SET_0104,Energy,Completed On Time,100,31806299.8792722,Energy Requirement 103,57793,IP_04,Semi Urban
SET_0105,School Building,Completed Behind Schedule,94,39884781.64522943,School Building Requirement 104,74794,IP_15,Urban
SET_0106,Road Construction,Completed Behind Schedule,84,8952295.292100256,Road Construction Requirement 105,24275,IP_02,Semi Urban
SET_0107,Hospital Development,Cancelled,5,44274064.459327355,Hospital Development Requirement 106,76703,IP_06,Urban
SET_0108,Energy,Completed On Time,100,20050028.214685295,Energy Requirement 107,72158,IP_09,Semi Urban
SET_0109,Hospital Development,Completed Behind Schedule,83,16354327.81621597,Hospital Development Requirement 108,25818,IP_20,Semi Urban
SET_0110,Market Place Construction,Completed On Time,100,13131239.893940927,Market Place Construction Requirement 109,29746,IP_06,Semi Rural
SET_0111,Hospital Development,Ongoing,55,22122199.637884077,Hospital Development Requirement 110,54441,IP_06,Urban
SET_0112,School Building,Completed Behind Schedule,80,16542607.628949106,School Building Requirement 111,43101,IP_01,Semi Rural
SET_0113,School Building,Completed On Time,100,35780918.98825179,School Building Requirement 112,79477,IP_13,Semi Urban
SET_0114,Hospital Development,Completed Behind Schedule,89,20535418.373472553,Hospital Development Requirement 113,48362,IP_02,Semi Urban
SET_0115,Water Supply,Completed On Time,100,1065113.5835490779,Water Supply Requirement 114,6287,IP_09,Semi Rural
SET_0116,Hospital Development,Ongoing,64,36651338.782184094,Hospital Development Requirement 115,94070,IP_12,Semi Urban
SET_0117,School Building,Cancelled,2,17757406.68968741,School Building Requirement 116,68444,IP_08,Semi Urban
SET_0118,Energy,Completed On Time,100,1708688.0184111728,Energy Requirement 117,6951,IP_03,Rural
SET_0119,Water Supply,Completed On Time,100,8202226.9265135825,Water Supply Requirement 118,16524,IP_13,Semi Urban
SET_0120,School Building,Delayed,56,44731783.82657404,School Building Requirement 119,85056,IP_06,Semi Urban
SET_0121,Road Construction,Ongoing,54,35571767.194314554,Road Construction Requirement 120,88062,IP_02,Urban
SET_0122,Energy,Ongoing,35,17168406.159444775,Energy Requirement 121,37455,IP_08,Semi Rural
SET_0123,School Building,Delayed,78,37710955.666529626,School Building Requirement 122,88487,IP_04,Semi Urban
SET_0124,Water Supply,Completed Behind Schedule,84,5330849.635161572,Water Supply Requirement 123,11789,IP_04,Semi Urban
SET_0125,Energy,Completed Behind Schedule,89,22706872.34762908,Energy Requirement 124,60201,IP_15,Semi Urban
SET_0126,Market Place Construction,Completed Behind Schedule,87,19085624.182928756,Market Place Construction Requirement 125,72895,IP_12,Semi Urban
SET_0127,Water Supply,Ongoing,65,8432360.181235917,Water Supply Requirement 126,21609,IP_05,Semi Urban
SET_0128,Market Place Construction,Stalled,15,23830617.232339542,Market Place Construction Requirement 127,78834,IP_14,Semi Urban
SET_0129,Hospital Development,Ongoing,47,933683.172218226,Hospital Development Requirement 128,3443,IP_11,Semi Rural
SET_0130,Market Place Construction,Stalled,14,19172573.63464566,Market Place Construction Requirement 129,40915,IP_10,Semi Rural
SET_0131,Road Construction,Completed On Time,100,15263009.112220468,Road Construction Requirement 130,66310,IP_09,Semi Urban
SET_0132,Energy,Completed On Time,100,13893109.904748933,Energy Requirement 131,48882,IP_04,Semi Urban
SET_0133,Energy,Delayed,72,6423851.658308368,Energy Requirement 132,20256,IP_15,Semi Urban
SET_0134,Road Construction,Completed On Time,100,45836202.58305341,Road Construction Requirement 133,76060,IP_03,Urban
SET_0135,Market Place Construction,Stalled,11,19703113.990535796,Market Place Construction Requirement 134,50688,IP_17,Semi Urban
SET_0136,Hospital Development,Stalled,31,9761190.963801058,Hospital Development Requirement 135,42914,IP_06,Semi Rural
SET_0137,Water Supply,Completed Behind Schedule,90,41704727.90966421,Water Supply Requirement 136,88895,IP_17,Urban
SET_0138,Road Construction,Completed On Time,100,15690806.562914217,Road Construction Requirement 137,47163,IP_08,Semi Urban
SET_0139,Road Construction,Completed Behind Schedule,98,7279290.49763962,Road Construction Requirement 138,21806,IP_17,Semi Urban
SET_0140,Water Supply,Delayed,68,9646211.556640042,Water Supply Requirement 139,43460,IP_15,Semi Rural
SET_0141,School Building,Completed Behind Schedule,97,10490020.258299302,School Building Requirement 140,29865,IP_04,Semi Rural
SET_0142,Road Construction,Completed On Time,100,29202119.89979039,Road Construction Requirement 141,53487,IP_19,Urban
SET_0143,Energy,Completed On Time,100,18720062.566210672,Energy Requirement 142,53603,IP_08,Urban
SET_0144,Road Construction,Completed On Time,100,37546298.73518975,Road Construction Requirement 143,77534,IP_15,Urban
SET_0145,Water Supply,Ongoing,76,43958825.854902945,Water Supply Requirement 144,73258,IP_14,Urban
SET_0146,Energy,Completed Behind Schedule,84,23233313.077071737,Energy Requirement 145,85458,IP_16,Semi Urban
SET_0147,School Building,Completed On Time,100,1333050.0865901022,School Building Requirement 146,7150,IP_19,Semi Rural
SET_0148,Market Place Construction,Ongoing,30,25261178.045779496,Market Place Construction Requirement 147,51460,IP_10,Semi Urban
SET_0149,School Building,Completed On Time,100,56162762.86345038,School Building Requirement 148,95914,IP_09,Urban
SET_0150,School Building,Completed On Time,100,38588622.833426856,School Building Requirement 149,63516,IP_17,Semi Urban
SET_0151,School Building,Cancelled,17,15407056.587286087,School Building Requirement 150,49285,IP_09,Semi Rural
SET_0152,School Building,Completed On Time,100,41611624.86238519,School Building Requirement 151,61774,IP_13,Urban
SET_0153,School Building,Delayed,70,45307298.88585701,School Building Requirement 152,75532,IP_02,Urban
SET_0154,Road Construction,Completed Behind Schedule,91,6091481.722620002,Road Construction Requirement 153,23180,IP_06,Semi Urban
SET_0155,Hospital Development,Ongoing,36,2026771.9197988517,Hospital Development Requirement 154,5263,IP_14,Semi Rural
SET_0156,School Building,Completed On Time,100,11103772.513003765,School Building Requirement 155,39709,IP_11,Semi Urban
SET_0157,Hospital Development,Ongoing,68,44595665.80162828,Hospital Development Requirement 156,90599,IP_15,Semi Urban
SET_0158,Energy,Completed Behind Schedule,83,43210939.085913725,Energy Requirement 157,95613,IP_20,Urban
SET_0159,Hospital Development,Cancelled,11,3970115.827851973,Hospital Development Requirement 158,13112,IP_09,Semi Rural
SET_0160,Road Construction,Completed Behind Schedule,90,15593401.532332977,Road Construction Requirement 159,36111,IP_03,Semi Urban
SET_0161,Hospital Development,Completed On Time,100,14312602.846410885,Hospital Development Requirement 160,29145,IP_12,Semi Urban
SET_0162,Hospital Development,Delayed,66,28729689.683617868,Hospital Development Requirement 161,92748,IP_17,Semi Urban
SET_0163,Market Place Construction,Stalled,17,920248.2634717312,Market Place Construction Requirement 162,2341,IP_05,Semi Rural
SET_0164,Energy,Completed On Time,100,21840394.40577631,Energy Requirement 163,59053,IP_09,Semi Urban
SET_0165,Water Supply,Ongoing,46,6818916.707131956,Water Supply Requirement 164,28935,IP_07,Semi Rural
SET_0166,Energy,Ongoing,77,10094444.686200408,Energy Requirement 165,38198,IP_18,Semi Urban
SET_0167,Energy,Completed Behind Schedule,89,28848994.553450655,Energy Requirement 166,52571,IP_03,Urban
SET_0168,Market Place Construction,Completed On Time,100,51874273.932757154,Market Place Construction Requirement 167,97443,IP_12,Urban
SET_0169,Road Construction,Ongoing,42,22355988.994394902,Road Construction Requirement 168,45547,IP_10,Semi Urban
SET_0170,Market Place Construction,Completed On Time,100,37936622.41714059,Market Place Construction Requirement 169,81765,IP_13,Semi Urban
SET_0171,Water Supply,Stalled,36,53263213.0785146,Water Supply Requirement 170,96505,IP_17,Semi Urban
SET_0172,Water Supply,Ongoing,73,45685351.058341876,Water Supply Requirement 171,74972,IP_07,Semi Urban
SET_0173,Market Place Construction,Completed On Time,100,3527662.0364320166,Market Place Construction Requirement 172,13676,IP_18,Semi Urban
SET_0174,Market Place Construction,Ongoing,77,7626689.67758732,Market Place Construction Requirement 173,33913,IP_09,Semi Rural
SET_0175,Road Construction,Completed On Time,100,54204233.58182083,Road Construction Requirement 174,90431,IP_11,Semi Urban
SET_0176,Market Place Construction,Delayed,63,18643449.823941138,Market Place Construction Requirement 175,38573,IP_02,Semi Urban
SET_0177,Road Construction,Completed On Time,100,8380224.376230808,Road Construction Requirement 176,25262,IP_19,Semi Rural
SET_0178,Water Supply,Completed On Time,100,7920541.289652494,Water Supply Requirement 177,35157,IP_03,Semi Rural
SET_0179,Energy,Ongoing,52,56668316.55288952,Energy Requirement 178,82412,IP_17,Urban
SET_0180,Water Supply,Ongoing,47,13659282.292129286,Water Supply Requirement 179,43874,IP_03,Semi Rural
SET_0181,Energy,Ongoing,54,24412798.998331692,Energy Requirement 180,55028,IP_02,Semi Urban
SET_0182,Hospital Development,Completed On Time,100,25582690.530750506,Hospital Development Requirement 181,84560,IP_02,Semi Urban
SET_0183,Market Place Construction,Completed Behind Schedule,84,51520691.66585108,Market Place Construction Requirement 182,95377,IP_15,Urban
SET_0184,Energy,Ongoing,55,43488787.6254715,Energy Requirement 183,81199,IP_16,Urban
SET_0185,Water Supply,Cancelled,18,17050506.838540036,Water Supply Requirement 184,42755,IP_19,Semi Urban
SET_0186,School Building,Ongoing,56,1182510.341126449,School Building Requirement 185,2591,IP_19,Semi Rural
SET_0187,Market Place Construction,Completed On Time,100,37344078.78036815,Market Place Construction Requirement 186,97826,IP_10,Urban
SET_0188,Market Place Construction,Delayed,56,60289527.820544034,Market Place Construction Requirement 187,87206,IP_19,Urban
SET_0189,School Building,Completed Behind Schedule,86,688114.1942596722,School Building Requirement 188,3719,IP_14,Rural
SET_0190,Water Supply,Completed On Time,100,31575032.686553285,Water Supply Requirement 189,93124,IP_17,Semi Urban
SET_0191,Road Construction,Completed On Time,100,12807162.492116462,Road Construction Requirement 190,35832,IP_03,Semi Rural
SET_0192,Energy,Completed On Time,100,31882535.775138013,Energy Requirement 191,77242,IP_15,Semi Urban
SET_0193,Energy,Delayed,69,11468823.828015748,Energy Requirement 192,27660,IP_17,Semi Urban
SET_0194,Market Place Construction,Completed Behind Schedule,97,38688121.110091425,Market Place Construction Requirement 193,64888,IP_12,Semi Urban
SET_0195,Market Place Construction,Ongoing,41,22989415.89786485,Market Place Construction Requirement 194,91874,IP_06,Urban
SET_0196,Hospital Development,Completed On Time,100,6172324.046373988,Hospital Development Requirement 195,28082,IP_04,Semi Rural
SET_0197,Road Construction,Delayed,64,55678441.4398202,Road Construction Requirement 196,90186,IP_20,Urban
SET_0198,School Building,Ongoing,56,47356587.16961483,School Building Requirement 197,79797,IP_15,Semi Urban
SET_0199,Water Supply,Completed Behind Schedule,84,12661222.038185723,Water Supply Requirement 198,29602,IP_06,Semi Rural
SET_0200,School Building,Completed Behind Schedule,91,705027.6000879041,School Building Requirement 199,2980,IP_08,Rural
SET_0201,Market Place Construction,Delayed,70,11279071.708454136,Market Place Construction Requirement 200,40341,IP_18,Semi Urban
SET_0202,Market Place Construction,Delayed,61,10737622.45440492,Market Place Construction Requirement 201,40110,IP_03,Semi Urban
SET_0203,Market Place Construction,Stalled,16,255812.3209668694,Market Place Construction Requirement 202,1526,IP_04,Rural
SET_0204,Road Construction,Completed On Time,100,34105619.523003586,Road Construction Requirement 203,66455,IP_02,Urban
SET_0205,Hospital Development,Completed On Time,100,12569957.683638424,Hospital Development Requirement 204,30759,IP_18,Semi Urban
SET_0206,Energy,Completed On Time,100,32399412.747726258,Energy Requirement 205,63046,IP_06,Semi Urban
SET_0207,Road Construction,Completed Behind Schedule,88,10983247.528780736,Road Construction Requirement 206,31087,IP_15,Semi Urban
SET_0208,Energy,Ongoing,39,53449689.534864895,Energy Requirement 207,96317,IP_01,Semi Urban
SET_0209,School Building,Delayed,79,809964.1713529279,School Building Requirement 208,7368,IP_07,Rural
SET_0210,School Building,Completed On Time,100,48422871.51752884,School Building Requirement 209,82061,IP_10,Urban
SET_0211,Market Place Construction,Ongoing,32,35233581.48873018,Market Place Construction Requirement 210,63768,IP_09,Semi Urban
SET_0212,Road Construction,Delayed,67,31536297.27602769,Road Construction Requirement 211,65881,IP_15,Semi Urban
SET_0213,Hospital Development,Delayed,53,12942488.940233696,Hospital Development Requirement 212,27630,IP_03,Semi Urban
SET_0214,Road Construction,Completed On Time,100,22509280.84732935,Road Construction Requirement 213,96081,IP_13,Semi Urban
SET_0215,Road Construction,Completed On Time,100,51384011.317746826,Road Construction Requirement 214,80148,IP_08,Urban
SET_0216,Water Supply,Completed Behind Schedule,91,880628.8312864705,Water Supply Requirement 215,3356,IP_05,Rural
SET_0217,Road Construction,Completed On Time,100,37468812.24715931,Road Construction Requirement 216,92194,IP_15,Urban
SET_0218,Road Construction,Delayed,75,14793147.912853701,Road Construction Requirement 217,31027,IP_04,Semi Urban
SET_0219,Market Place Construction,Cancelled,18,11555754.64031572,Market Place Construction Requirement 218,26963,IP_04,Semi Rural
SET_0220,School Building,Completed Behind Schedule,81,12678526.978443207,School Building Requirement 219,32860,IP_07,Semi Rural
SET_0221,School Building,Completed On Time,100,10441699.862573575,School Building Requirement 220,30426,IP_18,Semi Urban
SET_0222,Water Supply,Completed On Time,100,52454512.03824622,Water Supply Requirement 221,85878,IP_10,Urban
SET_0223,Market Place Construction,Ongoing,66,35120230.429548316,Market Place Construction Requirement 222,67061,IP_15,Semi Urban
SET_0224,Energy,Completed Behind Schedule,81,22692956.999624915,Energy Requirement 223,71135,IP_02,Urban
SET_0225,Hospital Development,Ongoing,65,6387787.64103658,Hospital Development Requirement 224,14760,IP_11,Semi Rural
SET_0226,School Building,Completed On Time,100,13590252.684387438,School Building Requirement 225,45738,IP_09,Semi Rural
SET_0227,Road Construction,Ongoing,41,2298880.852526789,Road Construction Requirement 226,7276,IP_20,Semi Rural
SET_0228,Market Place Construction,Ongoing,66,44477727.60511707,Market Place Construction Requirement 227,86112,IP_12,Urban
SET_0229,Market Place Construction,Ongoing,49,28827359.14445113,Market Place Construction Requirement 228,84310,IP_05,Urban
SET_0230,Market Place Construction,Cancelled,3,335454.3415491354,Market Place Construction Requirement 229,1281,IP_05,Rural
SET_0231,Road Construction,Completed On Time,100,3232106.1914105034,Road Construction Requirement 230,10200,IP_11,Semi Urban
SET_0232,Energy,Cancelled,7,14107337.933566751,Energy Requirement 231,46272,IP_18,Semi Rural
SET_0233,Market Place Construction,Completed On Time,100,20046586.233592965,Market Place Construction Requirement 232,80141,IP_18,Semi Urban
SET_0234,School Building,Completed On Time,100,30510894.552527297,School Building Requirement 233,83811,IP_06,Urban
SET_0235,Water Supply,Cancelled,11,22952409.682689793,Water Supply Requirement 234,49320,IP_17,Semi Urban
SET_0236,School Building,Ongoing,41,10862299.513383396,School Building Requirement 235,37487,IP_04,Semi Urban
SET_0237,Road Construction,Ongoing,77,13419547.425687503,Road Construction Requirement 236,32890,IP_02,Semi Urban
SET_0238,School Building,Completed Behind Schedule,80,6106694.440108626,School Building Requirement 237,18087,IP_09,Semi Rural
SET_0239,Water Supply,Completed On Time,100,48665665.17187122,Water Supply Requirement 238,86150,IP_04,Urban
SET_0240,Energy,Stalled,22,1964232.419887629,Energy Requirement 239,5114,IP_11,Semi Rural
SET_0241,Road Construction,Delayed,74,672726.5006958174,Road Construction Requirement 240,2367,IP_07,Semi Rural
SET_0242,Water Supply,Ongoing,62,23743140.323416185,Water Supply Requirement 241,78714,IP_12,Semi Urban
SET_0243,Energy,Ongoing,75,36143146.53373462,Energy Requirement 242,64449,IP_09,Urban
SET_0244,Hospital Development,Cancelled,2,5764964.8419714365,Hospital Development Requirement 243,23612,IP_12,Semi Rural
SET_0245,Water Supply,Ongoing,73,31795379.642401423,Water Supply Requirement 244,82889,IP_06,Semi Urban
SET_0246,Energy,Cancelled,13,30716076.174159102,Energy Requirement 245,60889,IP_16,Semi Urban
SET_0247,Water Supply,Completed On Time,100,51344083.639815316,Water Supply Requirement 246,88163,IP_13,Urban
SET_0248,Energy,Completed On Time,100,13536850.204244804,Energy Requirement 247,38650,IP_14,Semi Rural
SET_0249,Hospital Development,Ongoing,37,15152154.03228582,Hospital Development Requirement 248,43652,IP_18,Semi Urban
SET_0250,School Building,Completed Behind Schedule,90,13703730.621922588,School Building Requirement 249,45976,IP_07,Semi Urban
SET_0251,Water Supply,Completed On Time,100,35553157.83698047,Water Supply Requirement 250,64646,IP_04,Urban
SET_0252,Market Place Construction,Delayed,61,3333095.906053404,Market Place Construction Requirement 251,13149,IP_13,Semi Urban
